cord_uid_a,cord_uid_b,similarity,title_a,title_b
mdd60ic7,7ljhd62b,-0.11318909,Acknowledgement to Referees,COVID-19 – Eine neue Herausforderung
7ljhd62b,se2s9c5j,-0.11318909,COVID-19 – Eine neue Herausforderung,Acknowledgement to Referees
7ljhd62b,0ngl3naa,-0.11318909,COVID-19 – Eine neue Herausforderung,Acknowledgement to Referees
7ljhd62b,eej8qb9t,-0.11318909,COVID-19 – Eine neue Herausforderung,Acknowledgement to Referees.
7ljhd62b,2un48l2e,-0.11318909,COVID-19 – Eine neue Herausforderung,Acknowledgement to Referees
7ljhd62b,s4bobqls,-0.11318909,COVID-19 – Eine neue Herausforderung,Acknowledgement to referees
7ljhd62b,dbo18qfk,-0.11318909,COVID-19 – Eine neue Herausforderung,Acknowledgement to Referees
7ljhd62b,rh9bx841,-0.11318909,COVID-19 – Eine neue Herausforderung,Acknowledgement to Referees
7ljhd62b,y3hpzj0u,-0.09078166,COVID-19 – Eine neue Herausforderung,"Acknowledgment of Referees, 2020"
mdd60ic7,d6su39tw,-0.08812146,Acknowledgement to Referees,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion
d6su39tw,0ngl3naa,-0.08812143,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,Acknowledgement to Referees
d6su39tw,se2s9c5j,-0.08812143,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,Acknowledgement to Referees
d6su39tw,eej8qb9t,-0.08812143,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,Acknowledgement to Referees.
d6su39tw,s4bobqls,-0.08812143,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,Acknowledgement to referees
d6su39tw,2un48l2e,-0.08812143,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,Acknowledgement to Referees
d6su39tw,dbo18qfk,-0.08812143,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,Acknowledgement to Referees
d6su39tw,rh9bx841,-0.08812143,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,Acknowledgement to Referees
nxmauvpu,d6su39tw,-0.08000494,Reasons for HOPE.,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion
8ezcu225,m5wlk26r,-0.07665201,Enquiring minds.,COVID-19 trifft auf angeborene Herzfehler
2w9zsz4m,a9jyx7wb,-0.07588019,Aktuelles zur Brustkrebstherapie,Risk Factors of COVID-19 Patients
2w9zsz4m,y1wpc0dk,-0.07043443,Aktuelles zur Brustkrebstherapie,People + Companies
2w9zsz4m,9bdiz5pz,-0.07043443,Aktuelles zur Brustkrebstherapie,People + Companies
mdd60ic7,z3irrfu4,-0.07042712,Acknowledgement to Referees,"Räumlich getrennt, virtuell vereint"
z3irrfu4,se2s9c5j,-0.07042712,"Räumlich getrennt, virtuell vereint",Acknowledgement to Referees
z3irrfu4,0ngl3naa,-0.07042712,"Räumlich getrennt, virtuell vereint",Acknowledgement to Referees
z3irrfu4,eej8qb9t,-0.07042712,"Räumlich getrennt, virtuell vereint",Acknowledgement to Referees.
z3irrfu4,s4bobqls,-0.07042712,"Räumlich getrennt, virtuell vereint",Acknowledgement to referees
z3irrfu4,2un48l2e,-0.07042712,"Räumlich getrennt, virtuell vereint",Acknowledgement to Referees
z3irrfu4,dbo18qfk,-0.07042712,"Räumlich getrennt, virtuell vereint",Acknowledgement to Referees
z3irrfu4,rh9bx841,-0.07042712,"Räumlich getrennt, virtuell vereint",Acknowledgement to Referees
7ljhd62b,a9jyx7wb,-0.06713869,COVID-19 – Eine neue Herausforderung,Risk Factors of COVID-19 Patients
mdd60ic7,m5wlk26r,-0.066924155,Acknowledgement to Referees,COVID-19 trifft auf angeborene Herzfehler
se2s9c5j,m5wlk26r,-0.066924155,Acknowledgement to Referees,COVID-19 trifft auf angeborene Herzfehler
0ngl3naa,m5wlk26r,-0.066924155,Acknowledgement to Referees,COVID-19 trifft auf angeborene Herzfehler
eej8qb9t,m5wlk26r,-0.066924155,Acknowledgement to Referees.,COVID-19 trifft auf angeborene Herzfehler
2un48l2e,m5wlk26r,-0.066924155,Acknowledgement to Referees,COVID-19 trifft auf angeborene Herzfehler
s4bobqls,m5wlk26r,-0.066924155,Acknowledgement to referees,COVID-19 trifft auf angeborene Herzfehler
dbo18qfk,m5wlk26r,-0.066924155,Acknowledgement to Referees,COVID-19 trifft auf angeborene Herzfehler
m5wlk26r,rh9bx841,-0.066924155,COVID-19 trifft auf angeborene Herzfehler,Acknowledgement to Referees
7ljhd62b,rqb19icj,-0.06372956,COVID-19 – Eine neue Herausforderung,Experiences of family caregivers of patients with COVID-19
d6su39tw,y3hpzj0u,-0.06275961,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,"Acknowledgment of Referees, 2020"
lq92mlhs,mdd60ic7,-0.062171675,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,Acknowledgement to Referees
lq92mlhs,se2s9c5j,-0.062171675,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,Acknowledgement to Referees
lq92mlhs,0ngl3naa,-0.062171675,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,Acknowledgement to Referees
lq92mlhs,eej8qb9t,-0.062171675,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,Acknowledgement to Referees.
lq92mlhs,2un48l2e,-0.062171675,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,Acknowledgement to Referees
lq92mlhs,s4bobqls,-0.062171675,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,Acknowledgement to referees
lq92mlhs,dbo18qfk,-0.062171675,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,Acknowledgement to Referees
lq92mlhs,rh9bx841,-0.062171675,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,Acknowledgement to Referees
tmi60ugl,7ljhd62b,-0.061946876,Fears and Hopes,COVID-19 – Eine neue Herausforderung
7ljhd62b,92ivie3y,-0.06169743,COVID-19 – Eine neue Herausforderung,Our Responsibility to All of Our Patients and Families
7ljhd62b,kmsz4jdk,-0.060583666,COVID-19 – Eine neue Herausforderung,Hyperlipasemia in Hospitalized COVID-19 Patients
7ljhd62b,6603ephy,-0.059654113,COVID-19 – Eine neue Herausforderung,Covid-19 vaccines for kids
7ljhd62b,qga9663z,-0.059654113,COVID-19 – Eine neue Herausforderung,Coronapod: Kids and COVID vaccines.
z3irrfu4,y3hpzj0u,-0.05938689,"Räumlich getrennt, virtuell vereint","Acknowledgment of Referees, 2020"
fouh4jhs,a9jyx7wb,-0.05751363,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren,Risk Factors of COVID-19 Patients
mdd60ic7,f608irm6,-0.05649632,Acknowledgement to Referees,Kardiale Folgen von COVID-19
2un48l2e,f608irm6,-0.05649632,Acknowledgement to Referees,Kardiale Folgen von COVID-19
s4bobqls,f608irm6,-0.05649632,Acknowledgement to referees,Kardiale Folgen von COVID-19
se2s9c5j,f608irm6,-0.05649631,Acknowledgement to Referees,Kardiale Folgen von COVID-19
0ngl3naa,f608irm6,-0.05649631,Acknowledgement to Referees,Kardiale Folgen von COVID-19
eej8qb9t,f608irm6,-0.05649631,Acknowledgement to Referees.,Kardiale Folgen von COVID-19
f608irm6,dbo18qfk,-0.05649631,Kardiale Folgen von COVID-19,Acknowledgement to Referees
f608irm6,rh9bx841,-0.05649631,Kardiale Folgen von COVID-19,Acknowledgement to Referees
30097lan,kux9vzn8,-0.05623578,Hematological Aspects of COVID-19,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation
y1wpc0dk,7ljhd62b,-0.0551449,People + Companies,COVID-19 – Eine neue Herausforderung
9bdiz5pz,7ljhd62b,-0.0551449,People + Companies,COVID-19 – Eine neue Herausforderung
xqhxra2p,mdd60ic7,-0.055021614,Akutrehabilitation nach COVID‑19‑Infektion: Eine ausgewählte Fallserie,Acknowledgement to Referees
xqhxra2p,se2s9c5j,-0.055021614,Akutrehabilitation nach COVID‑19‑Infektion: Eine ausgewählte Fallserie,Acknowledgement to Referees
xqhxra2p,0ngl3naa,-0.055021614,Akutrehabilitation nach COVID‑19‑Infektion: Eine ausgewählte Fallserie,Acknowledgement to Referees
xqhxra2p,s4bobqls,-0.055021614,Akutrehabilitation nach COVID‑19‑Infektion: Eine ausgewählte Fallserie,Acknowledgement to referees
xqhxra2p,2un48l2e,-0.055021614,Akutrehabilitation nach COVID‑19‑Infektion: Eine ausgewählte Fallserie,Acknowledgement to Referees
xqhxra2p,dbo18qfk,-0.055021614,Akutrehabilitation nach COVID‑19‑Infektion: Eine ausgewählte Fallserie,Acknowledgement to Referees
xqhxra2p,rh9bx841,-0.055021614,Akutrehabilitation nach COVID‑19‑Infektion: Eine ausgewählte Fallserie,Acknowledgement to Referees
xqhxra2p,eej8qb9t,-0.0550216,Akutrehabilitation nach COVID‑19‑Infektion: Eine ausgewählte Fallserie,Acknowledgement to Referees.
mdd60ic7,zpo4us36,-0.054732125,Acknowledgement to Referees,Versorgung von Krebspatienten leidet
0ngl3naa,zpo4us36,-0.054732125,Acknowledgement to Referees,Versorgung von Krebspatienten leidet
se2s9c5j,zpo4us36,-0.054732125,Acknowledgement to Referees,Versorgung von Krebspatienten leidet
eej8qb9t,zpo4us36,-0.054732125,Acknowledgement to Referees.,Versorgung von Krebspatienten leidet
s4bobqls,zpo4us36,-0.054732125,Acknowledgement to referees,Versorgung von Krebspatienten leidet
2un48l2e,zpo4us36,-0.054732125,Acknowledgement to Referees,Versorgung von Krebspatienten leidet
zpo4us36,dbo18qfk,-0.054732125,Versorgung von Krebspatienten leidet,Acknowledgement to Referees
zpo4us36,rh9bx841,-0.054732125,Versorgung von Krebspatienten leidet,Acknowledgement to Referees
y1wpc0dk,fouh4jhs,-0.054539133,People + Companies,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren
9bdiz5pz,fouh4jhs,-0.054539133,People + Companies,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren
mrdg743n,fouh4jhs,-0.054376543,Recruiting Residents During COVID-19,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren
k0xqoyx8,eej8qb9t,-0.05427581,Stille Hypoxie bei COVID-19: Eine Fallserie,Acknowledgement to Referees.
k0xqoyx8,mdd60ic7,-0.0542758,Stille Hypoxie bei COVID-19: Eine Fallserie,Acknowledgement to Referees
k0xqoyx8,0ngl3naa,-0.0542758,Stille Hypoxie bei COVID-19: Eine Fallserie,Acknowledgement to Referees
k0xqoyx8,se2s9c5j,-0.0542758,Stille Hypoxie bei COVID-19: Eine Fallserie,Acknowledgement to Referees
k0xqoyx8,s4bobqls,-0.0542758,Stille Hypoxie bei COVID-19: Eine Fallserie,Acknowledgement to referees
k0xqoyx8,2un48l2e,-0.0542758,Stille Hypoxie bei COVID-19: Eine Fallserie,Acknowledgement to Referees
k0xqoyx8,dbo18qfk,-0.0542758,Stille Hypoxie bei COVID-19: Eine Fallserie,Acknowledgement to Referees
k0xqoyx8,rh9bx841,-0.0542758,Stille Hypoxie bei COVID-19: Eine Fallserie,Acknowledgement to Referees
kux9vzn8,mdd60ic7,-0.05372357,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation,Acknowledgement to Referees
kux9vzn8,0ngl3naa,-0.05372357,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation,Acknowledgement to Referees
kux9vzn8,se2s9c5j,-0.05372357,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation,Acknowledgement to Referees
kux9vzn8,eej8qb9t,-0.05372357,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation,Acknowledgement to Referees.
kux9vzn8,s4bobqls,-0.05372357,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation,Acknowledgement to referees
kux9vzn8,2un48l2e,-0.05372357,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation,Acknowledgement to Referees
kux9vzn8,dbo18qfk,-0.05372357,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation,Acknowledgement to Referees
kux9vzn8,rh9bx841,-0.05372357,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation,Acknowledgement to Referees
ffbchp74,92ivie3y,-0.053713337,Rechtsprechung kurz berichtet,Our Responsibility to All of Our Patients and Families
17trii16,eej8qb9t,-0.053058945,Endlich mehr Honorar für COVID-19-lmpfungen,Acknowledgement to Referees.
mdd60ic7,17trii16,-0.053058937,Acknowledgement to Referees,Endlich mehr Honorar für COVID-19-lmpfungen
17trii16,0ngl3naa,-0.053058937,Endlich mehr Honorar für COVID-19-lmpfungen,Acknowledgement to Referees
17trii16,se2s9c5j,-0.053058937,Endlich mehr Honorar für COVID-19-lmpfungen,Acknowledgement to Referees
17trii16,s4bobqls,-0.053058937,Endlich mehr Honorar für COVID-19-lmpfungen,Acknowledgement to referees
17trii16,2un48l2e,-0.053058937,Endlich mehr Honorar für COVID-19-lmpfungen,Acknowledgement to Referees
17trii16,dbo18qfk,-0.053058937,Endlich mehr Honorar für COVID-19-lmpfungen,Acknowledgement to Referees
17trii16,rh9bx841,-0.053058937,Endlich mehr Honorar für COVID-19-lmpfungen,Acknowledgement to Referees
mdd60ic7,sfarwvit,-0.052805256,Acknowledgement to Referees,So machen Vermittler ihren Betrieb zukunftsfest
sfarwvit,0ngl3naa,-0.052805256,So machen Vermittler ihren Betrieb zukunftsfest,Acknowledgement to Referees
sfarwvit,se2s9c5j,-0.052805256,So machen Vermittler ihren Betrieb zukunftsfest,Acknowledgement to Referees
sfarwvit,2un48l2e,-0.052805256,So machen Vermittler ihren Betrieb zukunftsfest,Acknowledgement to Referees
sfarwvit,s4bobqls,-0.052805256,So machen Vermittler ihren Betrieb zukunftsfest,Acknowledgement to referees
sfarwvit,dbo18qfk,-0.052805256,So machen Vermittler ihren Betrieb zukunftsfest,Acknowledgement to Referees
