cord_uid_a,cord_uid_b,similarity,title_a,title_b
maxbdi99,32jbsokt,1.0,Potent neutralizing antibodies directed to multiple epitopes on SARS-CoV-2 spike.,Potent Neutralizing Antibodies Directed to Multiple Epitopes on SARS-CoV-2 Spike
jpyx5erb,21n3xa5h,1.0,Possible sequelae in post-SARS-CoV-2 patients: effects on sleep and general health condition,Possible sequelae in post-SARS-CoV-2 patients: effects on sleep and general health condition
ljovqf70,eyo52trm,1.0,Examining spatiotemporal changing patterns of bike-sharing usage during COVID-19 pandemic,Examining spatiotemporal changing patterns of bike-sharing usage during COVID-19 pandemic
g0nd2iwj,s0fp5z1q,1.0,An engineered decoy receptor for SARS-CoV-2 broadly binds protein S sequence variants,An engineered decoy receptor for SARS-CoV-2 broadly binds protein S sequence variants
bsle66aj,544vki14,1.0,More than 50 Long-term effects of COVID-19: a systematic review and meta-analysis,More Than 50 Long-Term Effects of COVID-19: A Systematic Review and Meta-Analysis
l8n5yw3v,0gsr0wnm,1.0,Telepsychotherapy During the COVID-19 Pandemic: The Experience of Lebanese Mental Health Professionals,Telepsychotherapy During the COVID-19 Pandemic: The Experience of Lebanese Mental Health Professionals
la3e29f1,t9jhxkoq,1.0,[The Impact of the COVID-19 Pandemic on Mental Health],The COVID-19 pandemic and its impact on mental health
1fde401p,an1fgtw1,1.0,Non-serious case reports,Non-serious case reports
ltwo2mf6,xqvp3rm2,1.0,Axillary Digital Thermometers uplifted a multidrug‐susceptible Candida auris outbreak among COVID‐19 patients in Brazil,Axillary Digital Thermometers uplifted a multidrug-susceptible Candida auris outbreak among COVID-19 patients in Brazil
sn2z1y6n,gk6ot82l,1.0,Ageism Predicts Prioritizing COVID-19 Vaccines for Older Adults and LTC Residents,Ageism Predicts Prioritizing COVID-19 Vaccines for Older Adults and LTC Residents
e7fya8lg,78a9dkpo,1.0,Did the COVID-19 lockdown really have no impact on young children's sleep?,Did the COVID-19 lockdown really have no impact on young children's sleep?
hwzu7mcc,g9n2mfni,1.0,Mitteilungen der DGRh - Veranstaltungen der Rheumaakademie,Krisenstrategien der Kliniken während der Pandemie
m3yfg22b,uguqq6gq,1.0,Right Ventricular Dysfunction in Patients with Covid-19 Infection: a Meta-analysis,RIGHT VENTRICULAR DYSFUNCTION IN PATIENTS WITH COVID-19 INFECTION: A META-ANALYSIS
zfprrxt4,6mg0svh4,1.0,Association of particulate matter pollution and case fatality rate of COVID-19 in 49 Chinese cities,Association of particulate matter pollution and case fatality rate of COVID-19 in 49 Chinese cities
j9y9k6h6,qqalrvjp,1.0,The Impact of COVID-19 and Homeschooling on Students' Engagement With Physical Activity,The Impact of COVID-19 and Homeschooling on Students' Engagement With Physical Activity
profhcho,jt0h9trb,1.0,News in brief,News in Brief
